EmployeeID,Name,Department,Role,Privilege,InheritedRole,Manager,Salary,JoiningDate
User1,Employee1,Legal,Manager,view_salary,Assistant,User3431,127054,2017-12-11
User2,Employee2,Finance,Assistant,manage_hiring,,User3664,65028,2010-10-08
User3,Employee3,HR,Auditor,view_salary,,User167,117847,2009-10-20
User4,Employee4,Admin,Clerk,authorize_contracts,,,99673,2005-12-31
User5,Employee5,Marketing,Director,approve_expense,,User1396,95010,2008-10-17
User6,Employee6,Finance,Assistant,view_salary,,User1606,117493,2008-09-20
User7,Employee7,HR,Manager,view_salary,,User3497,71986,2008-02-20
User8,Employee8,Operations,Officer,approve_expense,,User2847,96666,2007-05-07
User9,Employee9,IT,Officer,access_database,Executive,User2691,106787,2012-08-26
User10,Employee10,Admin,Assistant,manage_hiring,,User2365,67016,2002-11-05
User11,Employee11,IT,Executive,authorize_contracts,,User3217,138052,2013-12-06
User12,Employee12,Sales,Analyst,access_database,Manager,User1630,78595,2015-06-09
User13,Employee13,Sales,Analyst,manage_hiring,,User2753,95829,2011-02-18
User14,Employee14,Finance,Executive,authorize_contracts,,,83908,2009-08-24
User15,Employee15,Admin,Executive,approve_expense,,User4946,125990,2007-04-18
User16,Employee16,Legal,Executive,authorize_contracts,,User3335,77404,2021-04-19
User17,Employee17,Admin,Assistant,manage_hiring,,User2412,148489,2016-06-28
User18,Employee18,Marketing,Auditor,authorize_contracts,Clerk,,134592,2000-07-30
User19,Employee19,Admin,Manager,manage_hiring,,User4859,68143,2018-05-31
User20,Employee20,Operations,Executive,approve_expense,,User2980,38303,2000-05-27
User21,Employee21,Operations,Manager,access_database,,User3165,85069,2002-02-17
User22,Employee22,Finance,Clerk,view_salary,,User1944,98391,2019-10-01
User23,Employee23,Operations,Manager,approve_expense,,,99285,2012-02-11
User24,Employee24,Operations,Analyst,access_database,,User497,73937,2002-01-19
User25,Employee25,HR,Director,approve_expense,,User1618,102172,2015-10-11
User26,Employee26,Admin,Assistant,access_database,Clerk,,39531,2009-01-25
User27,Employee27,Finance,Executive,access_database,,,138325,2000-11-14
User28,Employee28,Finance,Executive,authorize_contracts,,,84243,2009-12-19
User29,Employee29,HR,Director,access_database,Executive,User3619,65723,2004-02-15
User30,Employee30,IT,Auditor,access_database,,User2873,90965,2017-08-03
User31,Employee31,Sales,Assistant,approve_expense,,User2709,90719,2006-04-06
User32,Employee32,Marketing,Auditor,view_salary,,User2710,109691,2002-03-18
User33,Employee33,Finance,Director,approve_expense,,,89677,2012-02-02
User34,Employee34,Marketing,Assistant,view_salary,,User916,90734,2013-11-17
User35,Employee35,Legal,Officer,access_database,,User2000,65992,2001-12-11
User36,Employee36,Admin,Auditor,approve_expense,,,56717,2013-02-01
User37,Employee37,IT,Officer,manage_hiring,,User369,104034,2016-07-11
User38,Employee38,IT,Clerk,approve_expense,,User4226,119267,2017-03-31
User39,Employee39,Marketing,Assistant,approve_expense,,User3017,137798,2011-10-19
User40,Employee40,Admin,Clerk,access_database,Assistant,User3872,73184,2016-01-26
User41,Employee41,IT,Analyst,manage_hiring,,User2288,81861,2018-02-06
User42,Employee42,Finance,Clerk,access_database,,User2898,146525,2005-11-13
User43,Employee43,Admin,Clerk,manage_hiring,,,115282,2012-10-08
User44,Employee44,Marketing,Executive,authorize_contracts,,,91378,2020-02-07
User45,Employee45,Admin,Officer,approve_expense,,,84318,2016-02-14
User46,Employee46,Admin,Auditor,authorize_contracts,Clerk,User2578,63532,2004-10-19
User47,Employee47,Marketing,Analyst,manage_hiring,,User2005,32659,2007-05-26
User48,Employee48,Sales,Manager,view_salary,,,50289,2009-12-13
User49,Employee49,HR,Executive,access_database,,User3057,123361,2009-03-02
User50,Employee50,Legal,Clerk,access_database,,User4377,108061,2011-12-05
User51,Employee51,Operations,Manager,access_database,,,91886,2004-10-01
User52,Employee52,Operations,Director,access_database,Director,User4731,85002,2016-06-23
User53,Employee53,Legal,Auditor,authorize_contracts,,User475,113835,2000-12-28
User54,Employee54,Admin,Analyst,manage_hiring,Executive,User2894,121110,2016-05-09
User55,Employee55,Admin,Manager,view_salary,Analyst,User584,76046,2001-10-15
User56,Employee56,Marketing,Manager,manage_hiring,,User2709,40337,2001-05-21
User57,Employee57,Marketing,Clerk,access_database,,User4935,62713,2008-11-21
User58,Employee58,Legal,Executive,manage_hiring,,,92497,2016-03-04
User59,Employee59,Operations,Clerk,access_database,,User2865,33128,2012-12-03
User60,Employee60,HR,Director,view_salary,,User3130,49005,2006-10-12
User61,Employee61,IT,Auditor,access_database,,,147136,2018-08-15
User62,Employee62,Operations,Manager,manage_hiring,Auditor,User3241,85598,2012-10-18
User63,Employee63,Admin,Assistant,manage_hiring,Analyst,User2889,30273,2011-04-24
User64,Employee64,Marketing,Executive,approve_expense,,User4460,143688,2008-03-25
User65,Employee65,Sales,Assistant,manage_hiring,,,77523,2020-10-19
